date,close,high,low,open,volume,price_chg_pct0,ema20,sma25,sma30,sma50,sma100,sma200,min30,max30,min60,max60,min90,max90,min120,max120,min150,max150,min252,max252,vol_sma40,vol_sma50,vol_sma252,avg_dollar_vol,adr_pct,inside_day,tight_day,perf_1mo,rela_perf_1mo,perf_3mo,rela_perf_3mo,perf_6mo,rela_perf_6mo,vol_ratio,vol_ratio_rank,perf_1mo_rank,rela_perf_1mo_rank,perf_3mo_rank,rela_perf_3mo_rank,perf_6mo_rank,rela_perf_6mo_rank,c0_c30_rank,c0_c60_rank,c0_c90_rank,c0_c120_rank,rs_sts_pct,ticker
2026-03-10,61.310001373291016,62.209999084472656,60.71440124511719,61.540000915527344,3947058.0,0.0024526083429226,61.20379779131896,60.971200408935545,60.65366694132487,60.67140014648437,50.81775749206543,40.73202733039856,55.040000915527344,68.4000015258789,44.5,68.4000015258789,35.119998931884766,68.4000015258789,30.72717667576929,68.4000015258789,28.659436856231288,68.4000015258789,21.32615460391295,68.4000015258789,7890781.45,7798813.16,6681394.277777778,431011298.3689007,0.0625732883182519,False,True,0.036342148942263,0.523869756496897,0.400731111082641,0.7049273046203672,0.9187033129286686,0.938661824995854,1.1810082030699232,65.0,75.0,75.0,93.0,93.0,95.0,95.0,60,85,91,93,73.68421052631578,AA
2026-03-10,120.48999786376952,127.38999938964844,112.01000213623048,112.0999984741211,13472819.0,0.0892243253672533,78.1879552599531,64.77480010986328,60.97766672770182,51.104900131225584,40.22510005950928,32.27447507858276,35.099998474121094,127.38999938964844,26.799999237060547,127.38999938964844,18.5,127.38999938964844,18.5,127.38999938964844,18.5,127.38999938964844,9.711000442504885,127.38999938964844,7312817.975,6792140.38,5321797.694444444,787151223.2388058,0.1296813899748807,False,False,1.7198645584393115,1.3748883854510914,3.531402676657855,2.280458718830783,4.099026751715746,2.4945293648148934,1.3741255107525097,78.0,99.0,99.0,99.0,99.0,99.0,99.0,99,99,99,99,100.0,AAOI
2026-03-10,51.06999969482422,51.7599983215332,50.0,50.7599983215332,824658.0,-0.0003914749990984,52.24621122142589,54.05879974365234,53.17466634114583,48.81401313781738,49.119164352417,52.40755018234253,46.310001373291016,65.19999694824219,37.66648631008281,65.19999694824219,37.66648631008281,65.19999694824219,37.66648631008281,65.19999694824219,37.66648631008281,65.19999694824219,28.235875323804944,69.24134274782261,1995271.45,2038213.16,2271574.436507937,110339594.61644211,0.0545912399524826,False,True,-0.076491855345298,0.4668322979596513,-0.0209062645513526,0.4927354739533458,-0.1536138159075559,0.4140663097093564,0.8783649868270688,30.0,32.0,32.0,44.0,44.0,32.0,32.0,56,84,75,72,26.31578947368421,AAP
2026-03-10,25.13999938964844,25.200000762939453,24.270000457763672,24.979999542236328,3008251.0,0.0174018745895456,20.913578328644338,18.72480010986328,17.82466672261556,16.24259994506836,17.088099966049196,19.840050015449524,12.90999984741211,25.75,11.43000030517578,25.75,11.43000030517578,25.75,11.43000030517578,27.5,11.43000030517578,27.5,11.43000030517578,31.43000030517578,4169066.275,3843687.02,2849235.123015873,88438409.97224808,0.0652795964659962,False,True,0.8803290654326867,0.9505041656827748,0.6250807340468691,0.8178327536087407,0.1153504156395135,0.5456481205820443,1.4632229686215243,82.0,99.0,99.0,96.0,96.0,70.0,70.0,98,97,96,95,94.73684210526316,ACHC
2026-03-10,41.959999084472656,45.74800109863281,40.08000183105469,40.08000183105469,2248288.0,0.0264187374789424,36.62895013329661,33.852399826049805,32.68733310699463,29.70019989013672,26.689999904632568,23.12679996967316,22.65999984741211,46.95000076293945,19.899999618530277,46.95000076293945,18.700000762939453,46.95000076293945,18.700000762939453,46.95000076293945,16.3799991607666,46.95000076293945,6.269999980926514,46.95000076293945,1600587.2,1484473.76,1301567.4126984128,74729970.78156586,0.1298228595934261,False,False,0.5899962127673106,0.8037412447844048,0.696038782241921,0.8535428661774541,0.6657403015034284,0.8149080792442874,1.2297382251462938,68.0,98.0,98.0,97.0,97.0,92.0,92.0,98,97,96,95,89.47368421052632,AEHR
2026-03-10,226.94000244140625,231.8000030517578,226.50010681152344,228.47000122070312,1870196.0,0.0097441710407397,226.23373928248955,222.3488543701172,219.76161549886064,208.29002044677733,187.6635888671875,161.43662113189697,186.7054607390753,255.2400054931641,163.40721623271534,255.2400054931641,155.11491024708258,255.2400054931641,149.0895738729028,255.2400054931641,129.15040866569788,255.2400054931641,93.80309426671666,255.2400054931641,2892262.4,2756331.92,2980032.126984127,566275834.168045,0.0434500580891892,False,True,0.1563917086672346,0.5845546699541653,0.346600807956501,0.6776858673601491,0.4779425662253662,0.7230342789863797,0.9705473890065232,40.0,90.0,90.0,92.0,92.0,89.0,89.0,80,85,82,82,57.89473684210527,AEM
2026-03-10,26.71999931335449,27.6200008392334,26.55010032653809,26.93000030517578,16729457.0,0.0221882148909207,26.602158396369692,25.72770164489746,25.384069697062174,23.14960411071777,18.47952533721924,13.849576468467712,19.86489004496678,32.040000915527344,15.536002410775051,32.040000915527344,10.187378377603151,32.040000915527344,9.677510382240328,32.040000915527344,8.027934364664626,32.040000915527344,5.184081353890253,32.040000915527344,27818578.925,26545487.14,22363861.734126985,641910227.8403544,0.0693908946408847,False,True,0.2154104323160763,0.6143885664315331,0.7746927900458926,0.8931260219167371,1.831236747816873,1.3850884786583535,1.2439076603013146,69.0,93.0,93.0,97.0,97.0,98.0,98.0,90,95,97,97,52.63157894736842,AG
2026-03-10,50.560001373291016,51.959999084472656,50.21989822387695,52.0099983215332,2554040.0,-0.0117278826409427,48.85401678832156,47.101200103759766,46.048333485921226,43.96820014953613,39.30230016708374,33.9497913646698,36.15999984741211,55.40999984741211,36.15999984741211,55.40999984741211,29.280000686645508,55.40999984741211,29.280000686645508,55.40999984741211,25.209999084472656,55.40999984741211,22.73581801443308,55.40999984741211,4477473.5,3971688.8,3751719.206349206,198707144.62454605,0.0538715404578116,False,False,0.2586508259384992,0.636246535347425,0.401330343885214,0.705228872538018,0.5433456643389949,0.7550305709727708,1.1934457921111383,66.0,94.0,94.0,93.0,93.0,90.0,90.0,92,86,91,88,68.42105263157895,AGI
2026-03-10,2.7100000381469727,2.7100000381469727,2.5299999713897705,2.5299999713897705,4560970.0,0.0840000152587889,2.3019429035885657,2.1544000005722044,2.071333336830139,1.855000004768372,1.584300001859665,1.4041999983787536,1.4500000476837158,2.799999952316284,1.2999999523162842,2.799999952316284,1.0399999618530271,2.799999952316284,1.0399999618530271,2.799999952316284,0.9800000190734864,2.799999952316284,0.8600000143051147,2.799999952316284,5965871.75,5581449.4,3758859.404761905,12060687.590446234,0.0920478303700789,False,False,0.6035502641367401,0.8105928020598631,0.8951049912931366,0.9537242679305769,1.3771930457482386,1.1629626882144493,1.5871494800901955,86.0,98.0,98.0,98.0,98.0,97.0,97.0,98,97,97,96,94.73684210526316,ALLO
2026-03-10,21.290000915527344,22.149900436401367,19.905000686645508,19.920000076293945,7908038.0,0.0807106645183015,17.255344583253073,16.172000007629393,15.386333338419597,13.025000038146972,10.1128000164032,7.631013759374619,10.5600004196167,22.149900436401367,6.400000095367432,22.149900436401367,5.434999942779541,22.149900436401367,4.75,22.149900436401367,3.882999897003174,22.149900436401367,2.2950000762939453,22.149900436401367,5248625.95,4666250.76,1878756.8293650795,83175393.8335844,0.0932409591231793,False,False,0.5099291020946881,0.763267413034642,1.9406079542236312,1.4798806299903604,3.608225420540452,2.2544211260230407,2.793669658554885,96.0,98.0,98.0,99.0,99.0,99.0,99.0,98,99,99,99,100.0,ALM
