date,close,high,low,open,volume,price_chg_pct0,ema20,sma25,sma30,sma50,sma100,sma200,min30,max30,min60,max60,min90,max90,min120,max120,min150,max150,min252,max252,vol_sma40,vol_sma50,vol_sma252,avg_dollar_vol,adr_pct,inside_day,tight_day,perf_1mo,rela_perf_1mo,perf_3mo,rela_perf_3mo,perf_6mo,rela_perf_6mo,vol_ratio,vol_ratio_rank,perf_1mo_rank,rela_perf_1mo_rank,perf_3mo_rank,rela_perf_3mo_rank,perf_6mo_rank,rela_perf_6mo_rank,c0_c30_rank,c0_c60_rank,c0_c90_rank,c0_c120_rank,rs_sts_pct,ticker
2026-03-24,113.9000015258789,114.9499969482422,96.3550033569336,96.3550033569336,16489207.0,0.1894319025164812,91.69452985206308,87.03680007934571,80.17233352661133,63.88600021362305,46.91645009994507,36.43680009365082,41.119998931884766,128.9600067138672,31.670000076293945,128.9600067138672,18.5,128.9600067138672,18.5,128.9600067138672,18.5,128.9600067138672,9.711000442504885,128.9600067138672,9743992.675,8536856.14,5622737.726190476,1355088523.8423564,0.140980238151958,False,False,1.1108228958190325,1.0775832327623842,2.6366539794284045,1.8560938463962708,2.729534974177723,1.8841017675771208,1.7329623307188762,88.0,99.0,99.0,99.0,99.0,99.0,99.0,99,99,99,99,92.3076923076923,AAOI
2026-03-24,7.369999885559082,7.630000114440918,7.329999923706055,7.550000190734863,3875607.0,-0.027704490799559,7.695955504517151,7.676508197784424,7.616799958546957,7.596941156387329,7.974163298606872,9.285767347812651,6.859058868887973,8.585881804405727,6.859058868887973,8.585881804405727,6.859058868887973,8.971765155948956,6.859058868887973,11.735031478535223,6.859058868887973,11.735031478535223,6.859058868887973,11.735031478535223,4556992.675,4373114.14,3471920.265873016,37219238.153769255,0.0404210547113206,False,False,0.0296002554280969,0.5256149030289391,-0.0414511933323348,0.4892289867528126,-0.3270299030864472,0.3399737924165528,1.312528032337788,72.0,78.0,78.0,48.0,48.0,23.0,23.0,55,44,36,32,38.46153846153847,ABR
2026-03-24,3.009999990463257,3.0899999141693115,2.859999895095825,2.900000095367432,4150695.0,0.0273037276052334,2.7621106911876288,2.6936000061035155,2.6736666758855185,2.803300008773804,3.128750009536743,3.0865000069141386,2.240000009536743,3.200000047683716,2.240000009536743,4.15500020980835,2.240000009536743,4.15500020980835,2.240000009536743,5.228000164031982,2.240000009536743,5.228000164031982,2.009999990463257,5.228000164031982,3445994.875,3433151.9,4240013.075396826,10638641.021428406,0.0780269822601937,False,False,0.1358490121283977,0.5798553032770468,-0.1094674885947045,0.4545144860592385,0.118959080459444,0.5652803354672723,0.8127321340105743,25.0,89.0,89.0,36.0,36.0,75.0,75.0,91,84,78,75,96.15384615384616,ABSI
2026-03-24,6.710000038146973,6.960000038146973,6.199999809265137,6.239999771118164,2563014.0,0.0822581039631167,6.047525048082337,5.752400016784668,5.698666683832804,5.397799997329712,4.761199996471405,5.253999992609024,4.840000152587891,7.46999979019165,3.674999952316284,7.46999979019165,3.0799999237060547,7.46999979019165,3.0799999237060547,7.46999979019165,3.0799999237060547,7.46999979019165,3.0799999237060547,10.699999809265137,1468607.85,1390054.28,1263926.246031746,10623279.200295448,0.0844580251003779,False,False,0.3131115191443583,0.6703484970623581,0.7611548921052662,0.8988671389355172,0.8535912293573631,0.9364048160904136,1.1619410979168108,60.0,96.0,96.0,97.0,97.0,96.0,96.0,93,96,96,95,96.15384615384616,ACDC
2026-03-24,22.690000534057617,23.059999465942383,21.61000061035156,23.059999465942383,3188999.0,-0.0211389027034979,22.34734136453336,22.206800079345705,21.11466674804688,18.057199993133544,17.041199979782103,19.87150002002716,13.300000190734863,25.75,11.43000030517578,25.75,11.43000030517578,25.75,11.43000030517578,27.5,11.43000030517578,27.5,11.43000030517578,31.040000915527344,3842054.975,3948487.98,2903198.4087301586,91659547.7977376,0.0586105704274932,False,False,0.3055236841022264,0.6664748779962756,0.5746010252826277,0.8036528330956878,-0.0143353569567267,0.4979421051294871,1.323386980182485,73.0,96.0,96.0,96.0,96.0,54.0,54.0,97,97,95,94,50.0,ACHC
2026-03-24,4.28000020980835,5.420000076293945,3.8550000190734863,4.710000038146973,1001369.0,-0.0541436199769158,3.887354161217214,3.0560000419616697,2.8756667017936706,2.730000021457672,3.331900006532669,4.996340011954308,1.3259999752044678,7.539000034332275,1.3259999752044678,7.539000034332275,1.3259999752044678,7.539000034332275,1.3259999752044678,8.34000015258789,1.3259999752044678,8.34000015258789,1.3259999752044678,21.0,4729134.225,3791847.38,991802.992063492,47902266.38629518,0.2748431265858715,False,False,1.578313431246292,1.316238954874048,0.2852853777380906,0.6559904500063923,0.049019678882892,0.5299480618605016,4.768219356911615,99.0,99.0,99.0,90.0,90.0,67.0,67.0,99,99,98,98,69.23076923076923,ACXP
2026-03-24,12.529999732971191,12.734999656677246,11.84000015258789,11.94499969482422,2332349.0,0.0381110231795802,10.831307829895897,10.479999923706057,10.43166659673055,10.03759994506836,9.246599955558777,9.190849974155428,9.25,12.734999656677246,8.5,12.734999656677246,7.110000133514404,12.734999656677246,7.110000133514404,12.734999656677246,7.110000133514404,12.734999656677246,6.929999828338623,12.734999656677246,1423623.725,1400484.98,1331464.4801587302,17646407.239761017,0.0552951143156215,False,False,0.2260273390984903,0.625891687141374,0.4418872655939201,0.7359177133719683,0.2984456195118017,0.6559540810753037,1.0692164501679258,51.0,94.0,94.0,94.0,94.0,86.0,86.0,92,90,93,90,100.0,ADTN
2026-03-24,39.18999862670898,40.0,36.0099983215332,36.36000061035156,1403269.0,0.054912436528677,37.10741369715463,37.90719993591309,36.45266653696696,32.68699989318848,27.84859992980957,24.50419997215271,26.0,46.95000076293945,19.899999618530277,46.95000076293945,18.700000762939453,46.95000076293945,18.700000762939453,46.95000076293945,16.3799991607666,46.95000076293945,6.269999980926514,46.95000076293945,1605401.725,1562409.38,1322371.3055555555,70827646.3489317,0.1207770138737149,False,False,0.1418997370393102,0.5829442216903215,0.7968821451787063,0.9171017950104065,0.204734094599805,0.6086125087475183,1.2140324871353267,64.0,90.0,90.0,98.0,98.0,81.0,81.0,95,97,96,95,73.07692307692307,AEHR
2026-03-24,13.470000267028809,13.809900283813477,12.90999984741211,12.899999618530272,1846553.0,0.0631412932847328,12.563306397131214,11.90799991607666,11.872666613260906,11.712599964141846,10.755899991989136,11.433462586402891,9.270000457763672,14.229999542236328,9.199999809265137,14.229999542236328,7.642000198364258,14.229999542236328,7.642000198364258,14.229999542236328,7.642000198364258,14.229999542236328,7.642000198364258,18.254813837876416,2885806.325,2755021.06,2271814.496031746,42502840.01198802,0.0699563233866178,False,False,0.2245454788208007,0.6251351917519703,0.4625407395480245,0.7464589378408809,0.1920354017403627,0.6021973310301758,1.2702649490267512,69.0,94.0,94.0,94.0,94.0,80.0,80.0,94,90,93,91,88.46153846153845,AESI
2026-03-24,15.460000038146973,15.800000190734863,14.560099601745604,14.90999984741211,1292682.0,0.0052015554688416,14.849910831468344,14.450800094604492,14.208666706085204,14.847800064086917,14.13700002670288,16.986800017356874,11.949999809265137,17.940000534057617,11.1850004196167,22.6200008392334,8.829999923706055,22.6200008392334,8.829999923706055,22.6200008392334,8.829999923706055,22.6200008392334,4.190000057220459,38.79999923706055,1829907.05,2323899.64,2473504.293650794,26344251.760753155,0.1003087240876936,True,False,0.2407704647524347,0.6334181096729218,0.0818754429263293,0.5521730589552596,-0.154729400531513,0.4270172666474793,0.7398034661581808,21.0,94.0,94.0,77.0,77.0,36.0,36.0,89,86,92,90,92.3076923076923,AEVA
2026-03-24,13.970000267028809,14.0,13.09000015258789,13.289999961853027,1978314.0,0.0591357628096937,11.544457877500395,10.571599922180177,10.27166659037272,9.641999969482422,8.770099997520447,8.711449999809265,8.520000457763672,14.869999885559082,7.53000020980835,14.869999885559082,6.889999866485596,14.869999885559082,6.889999866485596,14.869999885559082,6.889999866485596,14.869999885559082,6.889999866485596,14.869999885559082,1237762.85,1117588.28,815079.8174603175,24857077.30703821,0.0627839975097031,False,False,0.5661435142983791,0.7995223068928545,0.9006803331009265,0.9700788390072616,0.7057388257369115,0.8617121327048026,1.518578700496729,83.0,98.0,98.0,98.0,98.0,95.0,95.0,97,96,96,94,92.3076923076923,AGRO
2026-03-24,11.479999542236328,11.6899995803833,10.40999984741211,10.460000038146973,2788946.0,0.1070395052002839,10.164707494134396,9.915599975585938,9.988666661580403,10.117399997711182,9.947299976348877,9.560249967575071,8.505000114440918,11.6899995803833,8.505000114440918,11.6899995803833,8.505000114440918,11.6899995803833,8.505000114440918,11.6899995803833,8.505000114440918,11.6899995803833,7.105000019073486,11.6899995803833,1458311.15,1327510.92,1232650.9761904762,17735745.28374634,0.052859291817159,False,False,0.1156462181530471,0.5695416990017135,0.1514542863354926,0.587685060872862,0.2971750336048953,0.655312201278054,1.1830689937121774,62.0,88.0,88.0,83.0,83.0,86.0,86.0,92,85,79,75,100.0,AHCO
2026-03-24,1.8200000524520876,1.9700000286102293,1.7000000476837158,1.840000033378601,1739145.0,-0.0319148632615547,1.685857796604179,1.427200005054474,1.3180000046888989,1.1667999982833863,1.3219000017642974,2.0676000022888186,0.6200000047683716,2.8299999237060547,0.6200000047683716,2.8299999237060547,0.6200000047683716,2.8299999237060547,0.6200000047683716,3.109999895095825,0.6200000047683716,3.630000114440918,0.6200000047683716,5.099999904632568,12546058.625,10050120.9,2895292.242063492,45042032.89312342,0.2548534048181541,False,True,1.8437501455191556,1.451745421677362,0.358208960535054,0.6932095569250789,-0.3809523751598985,0.3127330169179621,4.333261576405962,98.0,99.0,99.0,92.0,92.0,20.0,20.0,99,99,98,98,73.07692307692307,AIFF
2026-03-24,2.819999933242798,2.990000009536743,2.6600000858306885,2.690000057220459,1378432.0,0.0143884756347787,2.371406499198013,2.1152000045776367,2.093333335717519,2.293100004196167,3.2551999938488008,4.955949990153313,1.5099999904632568,3.259999990463257,1.5099999904632568,3.2850000858306885,1.5099999904632568,6.25,1.5099999904632568,12.0,1.5099999904632568,12.0,1.5099999904632568,12.0,3158745.8,2997104.64,1244894.5714285714,14794171.470963169,0.1679062054552951,True,False,0.7090908933276969,0.8724974954387194,0.2876711687496176,0.6572081220863681,-0.5865102841257208,0.2088884297768128,2.537360088553684,95.0,99.0,99.0,90.0,90.0,10.0,10.0,98,96,94,92,100.0,AIRS
